DISEASE/TRAIT	MAPPED_TRAIT	STUDY ACCESSION	Other	Background
Osteoarthritis or lumbar spine bone mineral density	osteoarthritis|| spine bone mineral density	GCST005225	osteoarthritis|| spine bone mineral density	
Osteoporosis or obesity (pleiotropy)	obesity|| osteoporosis	GCST005114	obesity|| osteoporosis	
Osteoprotegerin (red blood cell fatty acid level interaction)	fatty acid measurement|| osteoprotegerin measurement	GCST004819	fatty acid measurement|| osteoprotegerin measurement	
Other erythrocyte phenotypes	erythrocyte count|| mean corpuscular hemoglobin concentration	GCST000500	erythrocyte count|| mean corpuscular hemoglobin concentration	
P-Selectin (red blood cell fatty acid level interaction)	fatty acid measurement|| P-Selectin measurement	GCST004822	fatty acid measurement|| P-Selectin measurement	
Paclitaxel-induced cytotoxicity	cytotoxicity measurement|| response to paclitaxel	GCST002924	cytotoxicity measurement|| response to paclitaxel	
Paclitaxel-induced neuropathy	peripheral neuropathy|| response to paclitaxel	GCST002923	peripheral neuropathy|| response to paclitaxel	
Paclitaxel-induced neuropathy	brain serotonin transporter measurement|| response to paclitaxel	GCST002074	brain serotonin transporter measurement|| response to paclitaxel	
Paclitaxel-induced neuropathy	response to paclitaxel|| neuropathy	GCST001755	response to paclitaxel|| neuropathy	
Paclitaxel-induced neuropathy	response to paclitaxel|| neuropathy	GCST001624	response to paclitaxel|| neuropathy	
Pain medicine use during menstruation	drug use measurement|| quality of life during menstruation measurement	GCST006637	drug use measurement|| quality of life during menstruation measurement	
Parkinson disease and lewy body pathology	Parkinson's disease|| Lewy body measurement	GCST002778	Parkinson's disease|| Lewy body measurement	
Parkinson's disease (coffee consumption interaction)	Parkinson's disease|| coffee consumption	GCST001205	Parkinson's disease|| coffee consumption	
Parkinson's disease (pesticide exposure interaction)	Parkinson's disease|| pesticide exposure measurement	GCST003600	Parkinson's disease|| pesticide exposure measurement	
Peanut allergy (maternal genetic effects)	peanut allergy measurement|| parental genotype effect measurement	GCST005723	peanut allergy measurement|| parental genotype effect measurement	
Peanut allergy (parent-of-origin effect)	peanut allergy measurement|| parental genotype effect measurement	GCST005727	peanut allergy measurement|| parental genotype effect measurement	
Pediatric autoimmune diseases	autoimmune thyroid disease|| type I diabetes mellitus|| Common variable immunodeficiency|| chronic childhood arthritis|| ankylosing spondylitis|| psoriasis|| celiac disease|| ulcerative colitis|| Crohn's disease|| autoimmune disease|| systemic lupus erythematosus	GCST003097	autoimmune thyroid disease|| type I diabetes mellitus|| Common variable immunodeficiency|| chronic childhood arthritis|| ankylosing spondylitis|| psoriasis|| celiac disease|| ulcerative colitis|| Crohn's disease|| autoimmune disease|| systemic lupus erythematosus	
Pediatric non-alcoholic fatty liver disease activity score	non-alcoholic fatty liver disease|| cirrhosis of liver	GCST001928	non-alcoholic fatty liver disease|| cirrhosis of liver	
Percent mammographic density	mammographic density percentage|| mammographic density measurement	GCST002669	mammographic density percentage|| mammographic density measurement	
Pericardial adipose tissue adjusted for height and weight	pericardial adipose tissue measurement|| body weight|| body height	GCST006544	pericardial adipose tissue measurement|| body weight|| body height	
Pericardial adipose tissue adjusted for height and weight	pericardial adipose tissue measurement|| body weight|| body height	GCST006543	pericardial adipose tissue measurement|| body weight|| body height	
Pericardial adipose tissue adjusted for height and weight	pericardial adipose tissue measurement|| body weight|| body height	GCST003968	pericardial adipose tissue measurement|| body weight|| body height	
Periodontal disease-related phenotypes	periodontitis|| periodontal measurement	GCST003484	periodontitis|| periodontal measurement	
Peripheral arterial disease (traffic-related air pollution interaction)	peripheral arterial disease|| traffic air pollution measurement	GCST004482	peripheral arterial disease|| traffic air pollution measurement	
Phenytoin-induced maculopapular exanthema	maculopapular eruption|| response to phenytoin	GCST005200	maculopapular eruption|| response to phenytoin	
Phenytoin-induced severe cutaneous adverse reactions	severe cutaneous adverse reaction|| response to phenytoin	GCST002558	severe cutaneous adverse reaction|| response to phenytoin	
Plantar fascial disorders	Plantar Fasciitis|| Plantar Fibromatosis	GCST005558	Plantar Fasciitis|| Plantar Fibromatosis	
Platelet thrombus formation	platelet reactivity measurement|| thrombus formation measurement	GCST001501	platelet reactivity measurement|| thrombus formation measurement	
Post bronchodilator FEV1	forced expiratory volume|| response to bronchodilator	GCST003262	forced expiratory volume|| response to bronchodilator	
Post bronchodilator FEV1/FVC ratio	response to bronchodilator|| FEV/FEC ratio	GCST003264	response to bronchodilator|| FEV/FEC ratio	
Posterior cortical atrophy and Alzheimer's disease	Alzheimer's disease|| Posterior cortical atrophy	GCST003452	Alzheimer's disease|| Posterior cortical atrophy	
Postprandial triglyceride response to high fat diet meal	response to high fat food intake|| triglyceride change measurement	GCST003014	response to high fat food intake|| triglyceride change measurement	
Preterm birth (maternal effect)	premature birth|| parental genotype effect measurement	GCST004898	premature birth|| parental genotype effect measurement	
Preterm birth (maternal effect)	premature birth|| parental genotype effect measurement	GCST004841	premature birth|| parental genotype effect measurement	
Preterm birth (maternal effect) (maternal pre-pregnancy BMI interaction)	body mass index|| premature birth|| parental genotype effect measurement	GCST004842	body mass index|| premature birth|| parental genotype effect measurement	
Preterm birth (maternal effect) (maternal pre-pregnancy BMI interaction)	body mass index|| premature birth|| parental genotype effect measurement	GCST004843	body mass index|| premature birth|| parental genotype effect measurement	
"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)"	rheumatoid arthritis|| type I diabetes mellitus|| psoriasis|| Sarcoidosis|| celiac disease|| ulcerative colitis|| Crohn's disease|| sclerosing cholangitis	GCST005563	rheumatoid arthritis|| type I diabetes mellitus|| psoriasis|| Sarcoidosis|| celiac disease|| ulcerative colitis|| Crohn's disease|| sclerosing cholangitis	
Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	rheumatoid arthritis|| type I diabetes mellitus|| psoriasis|| celiac disease|| ulcerative colitis|| Crohn's disease|| Progressive supranuclear palsy	GCST005320	rheumatoid arthritis|| type I diabetes mellitus|| psoriasis|| celiac disease|| ulcerative colitis|| Crohn's disease|| Progressive supranuclear palsy	
Prostate cancer (SNP x SNP interaction)	genetic variation|| prostate carcinoma	GCST001370	genetic variation|| prostate carcinoma	
Prostate cancer aggressiveness	cancer aggressiveness measurement|| Gleason score measurement|| prostate carcinoma	GCST002886	cancer aggressiveness measurement|| Gleason score measurement|| prostate carcinoma	
Prostate cancer mortality	survival time|| metastatic prostate cancer	GCST000844	survival time|| metastatic prostate cancer	
Proteinuria and chronic kidney disease	chronic kidney disease|| Proteinuria	GCST003141	chronic kidney disease|| Proteinuria	
Psoriatic arthritis vs Cutaneous psoriasis	cutaneous psoriasis measurement|| psoriatic arthritis|| psoriasis	GCST003271	cutaneous psoriasis measurement|| psoriatic arthritis|| psoriasis	
Psychiatric diseases (pleiotropy) (HIPO component 1)	attention deficit hyperactivity disorder|| unipolar depression|| schizophrenia|| autism spectrum disorder|| bipolar disorder	GCST006668	attention deficit hyperactivity disorder|| unipolar depression|| schizophrenia|| autism spectrum disorder|| bipolar disorder	
Psychosis and Alzheimer's disease	Alzheimer's disease|| psychotic symptoms	GCST001285	Alzheimer's disease|| psychotic symptoms	
Psychotic symptoms and prion disease	prion disease|| psychotic symptoms	GCST002871	prion disease|| psychotic symptoms	
Pubertal anthropometrics	puberty|| height growth measurement	GCST001876	puberty|| height growth measurement	
Pulmonary artery enlargement and chronic obstructive pulmonary disease	pulmonary artery enlargement|| chronic obstructive pulmonary disease	GCST002798	pulmonary artery enlargement|| chronic obstructive pulmonary disease	
Pulmonary function	pulmonary function measurement|| forced expiratory volume|| FEV/FEC ratio|| vital capacity	GCST002113	pulmonary function measurement|| forced expiratory volume|| FEV/FEC ratio|| vital capacity	
Pulmonary function (smoking interaction)	pulmonary function measurement|| smoking behaviour measurement	GCST001784	pulmonary function measurement|| smoking behaviour measurement	
Pulmonary function decline	forced expiratory volume|| FEV/FEC ratio	GCST001444	forced expiratory volume|| FEV/FEC ratio	
Pulse pressure (alcohol consumption interaction)	pulse pressure measurement|| alcohol drinking	GCST002310	pulse pressure measurement|| alcohol drinking	
Pulse pressure (dietary potassium intake interaction)	pulse pressure measurement|| dietary potassium intake measurement	GCST005201	pulse pressure measurement|| dietary potassium intake measurement	
Pulse pressure x alcohol consumption (light vs heavy) interaction (2df test)	pulse pressure measurement|| alcohol consumption measurement	GCST006171	pulse pressure measurement|| alcohol consumption measurement	
Pulse pressure x alcohol consumption interaction (2df test)	pulse pressure measurement|| alcohol drinking	GCST006168	pulse pressure measurement|| alcohol drinking	
Pulse pressure x sodium interaction (1df test)	pulse pressure measurement|| sodium measurement	GCST006117	pulse pressure measurement|| sodium measurement	
Pulse pressure x sodium interaction (2df test)	pulse pressure measurement|| sodium measurement	GCST006118	pulse pressure measurement|| sodium measurement	
